root;features;query_products_count;first_product_decada_profit;ten_product_decada_profit;products_with_sales;avg_price_prev_period;avg_price_period;profit_prev_period;profit_period;sellers;sellers_with_sales;sales_period
чехол;защитный,силиконовый;116;2061236;873;22;335;303;7103;2207044;37;10;5564
наушник;беспроводный,вакуумный;47;1088640;10668;27;529;608;1673578;2603652;23;16;5091
power;внешний;45;15810300;1387;13;806;1329;224773;828623;21;6;404
батарейка;алкалиновые,пальчиковый;25;1169650;302;14;213;215;230141;1068289;15;9;3603
батарейка;солевой;49;459096;988;19;94;145;256304;550911;19;12;4360
батарейка;щелочной;111;408564;130356;47;289;278;239882;877879;29;16;3406
зарядка;зарядный;188;556470;115920;67;367;453;1745821;3326528;101;35;8182
батарейка;алкалиновые;153;1169650;67536;86;267;274;892589;3136067;34;21;11463
батарейка;алкалиновые,мизинчиковые;19;606430;151;13;572;567;12529;619268;10;7;2066
gran;русский;12;107066;0;5;1613;2382;41602;122063;3;3;37
